,corps,cat
0,"['dropboxes', 'be', 'ready', 'please', 'note', 'postpone', 'official', 'deadline', 'tonight', 'deliverable', 'tomorrow', 'noon', 'yuxi', 'agree', 'switch', 'red', 'team', 'universe', 'tomorrow', 'morning', 'balance', 'number', 'team', 'universe', 'if', 'experience', 'problem', 'current', 'team', 'please', 'let', 'know', 'asap', 'if', 'alone', 'team', 'want', 'join', 'another', 'team', 'please', 'let', 'know', 'midnight', 'tonight', 'have', 'nice', 'evening', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'lyoncom', 'from', 'degot', 'christine', 'sent', 'samedi', 'septembre', 'to', 'ferriol', 'louis', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'bapsolle', 'charles', 'martial', 'nais', 'ayoujil', 'nizar', 'benjelloun', 'majid', 'castaner', 'marie', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'carlier', 'hugo', 'raphael', 'lucie', 'moumen', 'hind', 'floureusse', 'gabriel', 'sevin', 'salome', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'cao', 'yuxi', 'wu', 'kaipeng', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'rosenstiel', 'amandine', 'benabdellah', 'malek', 'chomarat', 'martin', 'vial', 'appoline', 'lambert', 'alfred', 'horbette', 'auriane', 'chalhoub', 'sebastien', 'gros', 'theo', 'roman', 'paul', 'emile', 'sefsaf', 'elsa', 'subject', 're', 'business', 'game', 'additional', 'guideline', 'dear', 'create', 'team', 'dropboxe', 'please', 'note', 'might', 'put', 'universe', 'together', 'team', 'participate', 'st', 'round', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'lyoncom', 'from', 'ferriol', 'louis', 'sent', 'samedi', 'septembre', 'to', 'degot', 'christine', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'bapsolle', 'charles', 'martial', 'nais', 'ayoujil', 'nizar', 'benjelloun', 'majid', 'castaner', 'marie', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'carlier', 'hugo', 'raphael', 'lucie', 'moumen', 'hind', 'floureusse', 'gabriel', 'sevin', 'salome', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'cao', 'yuxi', 'wu', 'kaipeng', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'rosenstiel', 'amandine', 'benabdellah', 'malek', 'chomarat', 'martin', 'vial', 'appoline', 'lambert', 'alfred', 'horbette', 'auriane', 'chalhoub', 'sebastien', 'gros', 'theo', 'roman', 'paul', 'emile', 'sefsaf', 'elsa', 'subject', 're', 'business', 'game', 'additional', 'guideline', 'madam', 'degot', 'dropbox', 'call', 'global', 'challenge', 'individual', 'report', 'brightspace', 'something', 'give', 'today', 'think', 'document', 'give', 'end', 'business', 'game', 'could', 'specify', 'thank', 'de', 'degot', 'christine', 'envoye', 'vendredi', 'septembre', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'bapsolle', 'charles', 'martial', 'nais', 'ayoujil', 'nizar', 'benjelloun', 'majid', 'castaner', 'marie', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'ferriol', 'louis', 'carlier', 'hugo', 'raphael', 'lucie', 'moumen', 'hind', 'floureusse', 'gabriel', 'sevin', 'salome', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'cao', 'yuxi', 'wu', 'kaipeng', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'rosenstiel', 'amandine', 'benabdellah', 'malek', 'chomarat', 'martin', 'vial', 'appoline', 'lambert', 'alfred', 'horbette', 'auriane', 'chalhoub', 'sebastien', 'gros', 'theo', 'roman', 'paul', 'emile', 'sefsaf', 'elsa', 'objet', 'business', 'game', 'additional', 'guideline', 'dear', 'student', 'to', 'make', 'sure', 'everyone', 'understand', 'business', 'game', 'work', 'it', 'exactly', 'format', 'standard', 'one', 'organize', 'meeting', 'set', 'presence', 'time', 'you', 'connect', 'around', 'hour', 'bg', 'hour', 'per', 'decision', 'you', 'make', 'decision', 'together', 'team', 'however', 'preparation', 'work', 'decision', 'make', 'individually', 'suggest', 'share', 'responsibility', 'building', 'strength', 'remember', 'beside', 'decision', 'make', 'platform', 'upload', 'tomorrow', 'midnight', 'strategy', 'note', 'include', 'also', 'organizational', 'chart', 'first', 'version', 'dashboard', 'please', 'define', 'first', 'kpi', 'want', 'follow', 'brightspace', 'you', 'analyze', 'datum', 'individually', 'at', 'practice', 'stage', 'check', 'market', 'size', 'profitability', 'competition', 'price', 'etc', 'once', 'finish', 'analysis', 'responsibility', 'area', 'make', 'recommendation', 'discuss', 'team', 'reach', 'agreement', 'decision', 'save', 'platform', 'what', 'also', 'test', 'recommendation', 'platform', 'meet', 'teammate', 'meet', 'test', 'course', 'various', 'simulation', 'choose', 'good', 'possible', 'one', 'online', 'strategy', 'agree', 'good', 'dashboard', 'help', 'analyze', 'datum', 'properly', 'good', 'forecast', 'important', 'make', 'good', 'decision', 'tomorrow', 'noon', 'make', 'quiz', 'cesim', 'please', 'note', 'mandatory', 'camera', 'quiz', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructeur', 'programme', 'global', 'bba', 'campus', 'de', 'paris']",Université
1,"['hello', 'salome', 'note', 'take', 'retake', 'regret', 'wait', 'retake', 'send', 'warn', 'know', 'organize', 'organization', 'just', 'regret', 'grasp', 'op', 'while', 'develop', 'skill', 'as', 'far', 'scoring', 'concern', 'say', 'satisfied', 'individual', 'participation', 'score', 'however', 'already', 'say', 'even', 'participation', 'note', 'fact', 'return', 'report', 'individual', 'allow', 'average', 'note', 'heading', 'note', 'team', 'quiz', 'therefore', 'understand', 'much', 'objective', 'encounter', 'offer', 'cordially', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'sevin', 'salome', 'sent', 'saturday', 'september', 'to', 'degot', 'christine', 'cc', 'desplanches', 'lea', 'subject', 're', 'retake', 'salome', 'sevin', 'urgent', 'hello', 'mrs', 'degot', 'jespere', 'find', 'grade', 'representative', 'work', 'time', 'invest', 'end', 'june', 'find', 'system', 'notation', 'unfair', 'bias', 'would', 'therefore', 'like', 'discuss', 'mr', 'giusti', 'mr', 'deprim', 'available', 'possible', 'soon', 'beautiful', 'day', 'salome', 'de', 'degot', 'christine', 'send', 'saturday', 'september', 'am', 'sevin', 'salome', 'salomesevin@gmailcom', 'cc', 'desplanches', 'understand', 'decide', 'take', '.', 'in', 'case', 'already', 'explain', 'would', 'take', 'retake', '.', 'sign', 'tonight', 'participate', 'comrade', 'development', 'strategy', 'note', 'dashboard', 'remove', 'cesim', 'platform', 'tonight', 'you', 'call', 'personal', 'mobile', 'well', 'christine']",Université
2,"['dear', 'create', 'team', 'dropboxe', 'please', 'note', 'might', 'put', 'universe', 'together', 'team', 'participate', 'st', 'round', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'lyoncom', 'from', 'ferriol', 'louis', 'sent', 'samedi', 'septembre', 'to', 'degot', 'christine', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'bapsolle', 'charles', 'martial', 'nais', 'ayoujil', 'nizar', 'benjelloun', 'majid', 'castaner', 'marie', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'carlier', 'hugo', 'raphael', 'lucie', 'moumen', 'hind', 'floureusse', 'gabriel', 'sevin', 'salome', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'cao', 'yuxi', 'wu', 'kaipeng', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'rosenstiel', 'amandine', 'benabdellah', 'malek', 'chomarat', 'martin', 'vial', 'appoline', 'lambert', 'alfred', 'horbette', 'auriane', 'chalhoub', 'sebastien', 'gros', 'theo', 'roman', 'paul', 'emile', 'sefsaf', 'elsa', 'subject', 're', 'business', 'game', 'additional', 'guideline', 'madam', 'degot', 'dropbox', 'call', 'global', 'challenge', 'individual', 'report', 'brightspace', 'something', 'give', 'today', 'think', 'document', 'give', 'end', 'business', 'game', 'could', 'specify', 'thank', 'de', 'degot', 'christine', 'envoye', 'vendredi', 'septembre', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'bapsolle', 'charles', 'martial', 'nais', 'ayoujil', 'nizar', 'benjelloun', 'majid', 'castaner', 'marie', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'ferriol', 'louis', 'carlier', 'hugo', 'raphael', 'lucie', 'moumen', 'hind', 'floureusse', 'gabriel', 'sevin', 'salome', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'cao', 'yuxi', 'wu', 'kaipeng', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'rosenstiel', 'amandine', 'benabdellah', 'malek', 'chomarat', 'martin', 'vial', 'appoline', 'lambert', 'alfred', 'horbette', 'auriane', 'chalhoub', 'sebastien', 'gros', 'theo', 'roman', 'paul', 'emile', 'sefsaf', 'elsa', 'objet', 'business', 'game', 'additional', 'guideline', 'dear', 'student', 'to', 'make', 'sure', 'everyone', 'understand', 'business', 'game', 'work', 'it', 'exactly', 'format', 'standard', 'one', 'organize', 'meeting', 'set', 'presence', 'time', 'you', 'connect', 'around', 'hour', 'bg', 'hour', 'per', 'decision', 'you', 'make', 'decision', 'together', 'team', 'however', 'preparation', 'work', 'decision', 'make', 'individually', 'suggest', 'share', 'responsibility', 'building', 'strength', 'remember', 'beside', 'decision', 'make', 'platform', 'upload', 'tomorrow', 'midnight', 'strategy', 'note', 'include', 'also', 'organizational', 'chart', 'first', 'version', 'dashboard', 'please', 'define', 'first', 'kpi', 'want', 'follow', 'brightspace', 'you', 'analyze', 'datum', 'individually', 'at', 'practice', 'stage', 'check', 'market', 'size', 'profitability', 'competition', 'price', 'etc', 'once', 'finish', 'analysis', 'responsibility', 'area', 'make', 'recommendation', 'discuss', 'team', 'reach', 'agreement', 'decision', 'save', 'platform', 'what', 'also', 'test', 'recommendation', 'platform', 'meet', 'teammate', 'meet', 'test', 'course', 'various', 'simulation', 'choose', 'good', 'possible', 'one', 'online', 'strategy', 'agree', 'good', 'dashboard', 'help', 'analyze', 'datum', 'properly', 'good', 'forecast', 'important', 'make', 'good', 'decision', 'tomorrow', 'noon', 'make', 'quiz', 'cesim', 'please', 'note', 'mandatory', 'camera', 'quiz', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructeur', 'programme', 'global', 'bba', 'campus', 'de', 'paris']",Université
3,"['christine', 'degot', 'invite', 'meet', 'zoom', 'planée', 'participate', 'meet', 'zoom', 'meet', 'id', 'one', 'touch', 'mobile', 'device', '#', 'france', '#', 'france', 'compose', 'number', 'accord', 'location', 'france', 'france', 'france', 'france', 'meet', 'id']",RDV
4,"['hello', 'salome', 'you', 'yet', 'connect', 'business', 'game', 'retake', 'may', 'bear', 'see', 'email', 'understand', 'decide', 'seize', 'opportunity', 'in', 'case', 'already', 'explain', 'transcript', 'please', 'contact', 'quickly', 'tell', 'be', 'go', 'if', 'sign', 'tonight', 'participate', 'comrade', 'development', 'strategy', 'note', 'dashboard', 'will', 'tonight', 'you', 'call', 'personal', 'mobile', 'well', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructor', 'program', 'global', 'bba', 'campus', 'paris']",Université
5,"['dear', 'student', 'the', 'first', 'decision', 'team', 'due', 'tonight', 'hour', 'you', 'connect', 'cesim', 'platform', 'yet', 'please', 'inform', 'plan', 'take', 'retake', 'game', 'in', 'case', 'delete', 'platform', 'nd', 'practice', 'round', 'platform', 'show', 'activity', 'behalf', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructeur', 'programme', 'global', 'bba', 'campus', 'de', 'paris']",Université
6,"['dear', 'student', 'to', 'make', 'sure', 'everyone', 'understand', 'business', 'game', 'work', 'it', 'exactly', 'format', 'standard', 'one', 'organize', 'meeting', 'set', 'presence', 'time', 'you', 'connect', 'around', 'hour', 'bg', 'hour', 'per', 'decision', 'you', 'make', 'decision', 'together', 'team', 'however', 'preparation', 'work', 'decision', 'make', 'individually', 'suggest', 'share', 'responsibility', 'building', 'strength', 'remember', 'beside', 'decision', 'make', 'platform', 'upload', 'tomorrow', 'midnight', 'strategy', 'note', 'include', 'also', 'organizational', 'chart', 'first', 'version', 'dashboard', 'please', 'define', 'first', 'kpi', 'want', 'follow', 'brightspace', 'you', 'analyze', 'datum', 'individually', 'at', 'practice', 'stage', 'check', 'market', 'size', 'profitability', 'competition', 'price', 'etc', 'once', 'finish', 'analysis', 'responsibility', 'area', 'make', 'recommendation', 'discuss', 'team', 'reach', 'agreement', 'decision', 'save', 'platform', 'what', 'also', 'test', 'recommendation', 'platform', 'meet', 'teammate', 'meet', 'test', 'course', 'various', 'simulation', 'choose', 'good', 'possible', 'one', 'online', 'strategy', 'agree', 'good', 'dashboard', 'help', 'analyze', 'datum', 'properly', 'good', 'forecast', 'important', 'make', 'good', 'decision', 'tomorrow', 'noon', 'make', 'quiz', 'cesim', 'please', 'note', 'mandatory', 'camera', 'quiz', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructeur', 'programme', 'global', 'bba', 'campus', 'de', 'paris']",Université
7,"['good', 'evening', 'salome', 'on', 'transcript', 'note', 'bg', 'catch', 'note', 'decide', 'pass', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'ly', 'cc', 'degot', 'christine', 'subject', 'catch', 'business', 'game', 'hello', 'ms', 'desplanche', 'thank', 'activite', 'question', 'however', 'would', 'note', 'one', 'get', 'this', 'seem', 'evening', 'de', 'desplanche', 'lea', 'send', 'thursday', 'september', 'am', 'sevin', 'salome', 'salomesevin@gmailcom', 'cc', 'degot', 'christine', 'catch', 'object', 'business', 'game', 'salome', 'suite', 'strongly', 'pass', 'catch', 'business', 'game', 'zero', 'transcript', 'especially', 'validate', 'important', 'skill', 'matter', 'if', 'however', 'choose', 'participate', 'thank', 'warn', 'mrs', 'degot', 'well', 'organization']",Université
8,"['dear', 'student', 'you', 'connect', 'yet', 'cesim', 'platform', 'please', 'tell', 'intend', 'retake', 'staffing', 'team', 'differently', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructeur', 'programme', 'global', 'bba', 'campus', 'de', 'paris']",Université
9,"['dear', 'student', 'please', 'tell', 'able', 'contact', 'team', 'member', 'make', 'change', 'team', 'teamsdropboxe', 'create', 'brightspace', 'tomorrow', 'noon', 'drop', 'deliverable', 'time', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'lyoncom', 'from', 'degot', 'christine', 'sent', 'vendredi', 'septembre', 'to', 'benabdellah', 'malek', 'benjelloun', 'majid', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'bapsolle', 'charles', 'chraibi', 'zineb', 'martial', 'nais', 'cao', 'yuxi', 'colombie', 'theo', 'wu', 'kaipeng', 'castaner', 'marie', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'ferriol', 'louis', 'moumen', 'hind', 'rosenstiel', 'amandine', 'ayoujil', 'nizar', 'carlier', 'hugo', 'raphael', 'lucie', 'suire', 'kim', 'charles', 'chomarat', 'martin', 'gros', 'theo', 'el', 'hadhoudi', 'wail', 'floureusse', 'gabriel', 'sevin', 'salome', 'lambert', 'alfred', 'horbette', 'auriane', 'roman', 'paul', 'emile', 'chalhoub', 'sebastien', 'vial', 'appoline', 'sun', 'jiayi', 'subject', 'retake', 'business', 'game', 'bba', 'access', 'platform', 'dear', 'student', 'if', 'trouble', 'connect', 'emlyonbbaretake', 'if', 'connect', 'cesim', 'past', 'year', 'use', 'password', 'bba', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'lyoncom', 'from', 'benabdellah', 'malek', 'sent', 'vendredi', 'septembre', 'to', 'benjelloun', 'majid', 'degot', 'christine', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'bapsolle', 'charles', 'chraibi', 'zineb', 'martial', 'nais', 'cao', 'yuxi', 'colombie', 'theo', 'wu', 'kaipeng', 'castaner', 'marie', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'ferriol', 'louis', 'moumen', 'hind', 'rosenstiel', 'amandine', 'ayoujil', 'nizar', 'carlier', 'hugo', 'raphael', 'lucie', 'suire', 'kim', 'charles', 'chomarat', 'martin', 'gros', 'theo', 'el', 'hadhoudi', 'wail', 'floureusse', 'gabriel', 'sevin', 'salome', 'lambert', 'alfred', 'horbette', 'auriane', 'roman', 'paul', 'emile', 'chalhoub', 'sebastien', 'vial', 'appoline', 'sun', 'jiayi', 'cc', 'desplanches', 'lea', 'giusti', 'romain', 'barriere', 'beatrice', 'subject', 're', 'retake', 'business', 'game', 'bba', 'hello', 'yes', 'please', 'give', 'we', 'information', 'timing', 'be', 'go', 'start', 'business', 'game', 'tomorrow', 'afternoon', 'and', 'majid', 'say', 'not', 'team', 'list', 'thank', 'malak', 'benabdellah', 'de', 'benjelloun', 'majid', 'envoye', 'thursday', 'september', 'pm', 'degot', 'christine', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'bapsolle', 'charles', 'chraibi', 'zineb', 'martial', 'nais', 'cao', 'yuxi', 'colombie', 'theo', 'wu', 'kaipeng', 'castaner', 'marie', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'ferriol', 'louis', 'moumen', 'hind', 'rosenstiel', 'amandine', 'ayoujil', 'nizar', 'carlier', 'hugo', 'raphael', 'lucie', 'suire', 'kim', 'charles', 'benabdellah', 'malek', 'chomarat', 'martin', 'gros', 'theo', 'el', 'hadhoudi', 'wail', 'floureusse', 'gabriel', 'sevin', 'salome', 'lambert', 'alfred', 'horbette', 'auriane', 'roman', 'paul', 'emile', 'chalhoub', 'sebastien', 'vial', 'appoline', 'sun', 'jiayi', 'cc', 'desplanches', 'lea', 'giusti', 'romain', 'barriere', 'beatrice', 'objet', 're', 'retake', 'business', 'game', 'bba', 'hello', 'when', 'know', 'time', 'start', 'and', 'team', 'be', 'go', 'receive', 'instruction', 'thank', 'benjelloun', 'majid', 'de', 'degot', 'christine', 'envoye', 'wednesday', 'august', 'pm', 'doucet', 'jeremie', 'travaux', 'victoire', 'herbet', 'pierre', 'arnaud', 'decoux', 'agathe', 'berrada', 'simohame', 'topaloglu', 'berat', 'bapsolle', 'charles', 'chraibi', 'zineb', 'martial', 'nais', 'cao', 'yuxi', 'colombie', 'theo', 'wu', 'kaipeng', 'benjelloun', 'majid', 'castaner', 'marie', 'achache', 'camil', 'raia', 'anthony', 'mairet', 'jule', 'boukaf', 'omar', 'de', 'guisa', 'gianni', 'ferriol', 'louis', 'moumen', 'hind', 'rosenstiel', 'amandine', 'ayoujil', 'nizar', 'carlier', 'hugo', 'raphael', 'lucie', 'suire', 'kim', 'charles', 'benabdellah', 'malek', 'chomarat', 'martin', 'gros', 'theo', 'el', 'hadhoudi', 'wail', 'floureusse', 'gabriel', 'sevin', 'salome', 'lambert', 'alfred', 'horbette', 'auriane', 'roman', 'paul', 'emile', 'chalhoub', 'sebastien', 'vial', 'appoline', 'sun', 'jiayi', 'cc', 'desplanches', 'lea', 'giusti', 'romain', 'barriere', 'beatrice', 'objet', 'retake', 'business', 'game', 'bba', 'dear', 'student', 'please', 'find', 'enclose', 'powerpoint', 'presentation', 'explain', 'retake', 'business', 'game', 'only', 'student', 'confirm', 'take', 'business', 'game', 'team', 'may', 'thus', 'change', 'till', 'end', 'st', 'practice', 'round', 'friday', 'evening', 'take', 'student', 'participate', 'st', 'practice', 'round', 'you', 'till', 'saturday', 'midnight', 'work', 'dashboard', 'strategy', 'note', 'nd', 'practice', 'round', 'day', 'on', 'sunday', 'th', 'round', 'please', 'confirm', 'available', 'day', 'sunday', 'add', 'one', 'day', 'business', 'game', 'one', 'decision', 'first', 'sunday', 'besides', 'powerpoint', 'presentation', 'find', 'hbr', 'article', 'strategy', 'great', 'help', 'build', 'efficient', 'strategy', 'game', 'the', 'cesim', 'session', 'ready', 'please', 'check', 'now', 'access', 'availability', 'limited', 'friday', 'also', 'different', 'time', 'zone', 'please', 'come', 'back', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'degot@em', 'lyoncom', 'from', 'degot', 'christine', 'sent', 'jeudi', 'aout', 'to', 'degot', 'christine', 'cc', 'desplanches', 'lea', 'giusti', 'romain', 'beranger', 'diana', 'subject', 'retake', 'business', 'game', 'bba', 'importance', 'high', 'dear', 'student', 'as', 'already', 'know', 'unfortunately', 'absent', 'business', 'game', 'fail', 'you', 'give', 'opportunity', 'retake', 'business', 'game', 'begin', 'september', 'the', 'business', 'game', 'online', 'one', 'decision', 'day', 'september', 'nd', 'september', 'th', 'week', 'end', 'include', 'team', 'student', 'there', 'universe', 'team', 'student', 'you', 'enter', 'decision', 'midnight', 'every', 'day', 'you', 'organize', 'work', 'want', 'team', 'share', 'analysis', 'situation', 'result', 'decision', 'make', 'together', 'long', 'meet', 'deadline', 'decision', 'deliverable', 'you', 'need', 'invest', 'hour', 'per', 'day', 'weekday', 'bit', 'we', 'if', 'overseas', 'please', 'tell', 'return', 'adjust', 'timing', 'accordingly', 'remind', 'business', 'game', 'worth', 'ect', 'require', 'graduation', 'the', 'grade', 'issue', 'time', 'diplomation', 'jury', 'take', 'place', 'end', 'september', 'grade', 'cap', 'valid', 'reason', 'absence', 'please', 'confirm', 'present', 'absent', 'organize', 'session', 'if', 'plan', 'retake', 'grade', 'retake', 'exam', 'strongly', 'encourage', 'prepare', 'indulgence', 'letter', 'jury', 'if', 'already', 'do', 'please', 'inform', 'absence', 'junejuly', 'business', 'game', 'justify', 'avoid', 'grade', 'cap', 'you', 'receive', 'powerpoint', 'presentation', 'requirement', 'game', 'team', 'member', 'access', 'code', 'cesim', 'platform', 'available', 'whatsapp', 'question', 'game', 'retake', 'coach', 'game', 'strongly', 'encourage', 'read', 'document', 'game', 'former', 'brightspace', 'group', 'abg', 'xx', 'cbg', 'xx', 'kind', 'regard', 'christine', 'degot', 'action', 'learn', 'mentor', 'global', 'bba', 'paris', 'campus', 'instructeur', 'programme', 'global', 'bba', 'campus', 'de', 'paris']",Université
